Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Grem1		Grem1	chick	Sarcopterygii: Aves	in situ		3	(Zeller, 2010)
Hand2		Hand2	chick	Sarcopterygii: Aves	in situ		3	(Sakamoto et al., 2009)
Hand2		Hand2	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Tanaka et al., 2002)	3	(Sakamoto et al., 2009)
Hand2		dHand	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	degenerate PCR, RT-PCR	3	(Tanaka et al., 2002)  
Hand2		Hand2	dolphin (Stenella attenuata)	Sarcopterygii: Mammalia	in situ	(Thewissen et al., 2006)	3	(Richardson et al., 2009)  
Hand2		Hand2	dolphin (Stenella attenuata)	Sarcopterygii: Mammalia	knockout	absence ofÂ Hand2Â expression disrupts shh/fgf8 (Thewissen et al., 2006)	1	(Zeller, 2010)
Hand2		dHAND	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007)
Hand2		dHand	mouse	Sarcopterygii: Mammalia	in situ	(Galli et al., 2010)	3	(Abbasi, 2011)
Hand2		dHand	mouse	Sarcopterygii: Mammalia	knockout	(Galli et al., 2010)	1	(Abbasi, 2011)
Hand2		Hand2	mouse	Sarcopterygii: Mammalia	knockout	(Charite et al., 2000)	1	(Ahn and Ho, 2008) 
Hand2		Hand2	mouse	Sarcopterygii: Mammalia	in situ	(Zakany et al., 2004)	3	(Freitas et al., 2006) 
Hand2		dHand	mouse	Sarcopterygii: Mammalia	in situ	(Naiche and Papaioannou, 2003)	3	(Horton et al., 2008) 
Hand2		Hand2	mouse	Sarcopterygii: Mammalia	in situ	(te Welscher et al., 2002)	3	(Sakamoto et al., 2009)
Hand2		dHand	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
Hand2	hand2	hand2	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
Hibadh		Hibadh	mouse	Sarcopterygii: Mammalia	sequencing		4	(Berlivet et al., 2013)
Hibadh		Hibadh	mouse	Sarcopterygii: Mammalia	in situ	(Lehoczky et al., 2004)	3	(Berlivet et al., 2013)
Hibadh	hibadha	hibadh-a (hibadha as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hibadh	hibadhb	hibadh-b (hibadhb as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa10		HoxA10	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		hoxa10	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Ahn and Ho, 2008) 
Hoxa10		HoxA10	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		HoxA10	horn shark (Heterodontus francisci)	Elasmobranchii	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		HoxA10	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		hoxa10	mouse	Sarcopterygii: Mammalia	in situ	(Haack and Gruss, 1993)	3	(Ahn and Ho, 2008) 
Hoxa10		HoxA10	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		HoxA10	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		HoxA10	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		HoxA10	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10		HoxA10	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10		HoxA10	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10	hoxa10b	hoxa10b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa10	hoxa10b	HoxA10	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa10	hoxa10b	HoxA10	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa10	hoxa10b	hoxa10 (hoxa10b in (Grandel et al., 2000) as per ZFIN) 	zebrafish	Actinopterygii: Teleostei	in situ	(Grandel et al., 2000)	3	(Yano and Tamura, 2013)
Hoxa11		Hox A 11	axolotl (Ambystoma mexicanum)	Sarcopterygii: Amphibia	in situ	(Ruddle et al., 1999)	3	(Hinchliffe, 2002)  
Hoxa11		HoxA11	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		Hoxa-11	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment with North American Paddlefish , shark (Heterodontis francisi), zebraï¬sh, pufferï¬sh, and coelacanth	4	(Metscher et al., 2005)
Hoxa11		hoxa11	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Ahn and Ho, 2008) 
Hoxa11		Hox A 11	chick	Sarcopterygii: Aves	in situ	(Ruddle et al., 1999)	3	(Hinchliffe, 2002)  
Hoxa11		Hoxa-11	chick	Sarcopterygii: Aves	misexpression	distal displacement of the Hoxa11 expression domain	2	(Wagner and Chiu, 2001) 
Hoxa11		Hoxa11	chick	Sarcopterygii: Aves	sequencing	sequence comparison with Latimeria chalumnae, mouse, human, frog, zebrafish	4	(Xue and Qian, 2001)  
Hoxa11		Hoxa-11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		HoxA11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		Hoxa-11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), zebraï¬sh, and puï¬€erï¬sh	4	(Metscher et al., 2005) 
Hoxa11		Hoxa11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	PCR		3	(Xue and Qian, 2001)  
Hoxa11		Hoxa11	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence comparison with mouse, human, chick, frog, zebrafish	4	(Xue and Qian, 2001)  
Hoxa11		Hoxa11	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Hoxa11		Hoxa-11	giant zebrafish (Danio aequipinnatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	giant zebrafish (Danio aequipinnatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	giant zebrafish (Danio aequipinnatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	giant zebrafish (Danio aequipinnatus)	Actinopterygii: Teleostei	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	giant zebrafish (Danio aequipinnatus)	Actinopterygii: Teleostei	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	giant zebrafish (Danio aequipinnatus)	Actinopterygii: Teleostei	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		HoxA11	horn shark (Heterodontus francisci)	Elasmobranchii	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		Hoxa-11	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment with North American Paddlefish, bichir (Polypterus senegalus), zebraï¬sh, puï¬€erï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa11		Hoxa-11	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	human	Sarcopterygii: Mammalia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	human	Sarcopterygii: Mammalia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	human	Sarcopterygii: Mammalia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa11	human	Sarcopterygii: Mammalia	sequencing	sequence comparison with Latimeria chalumnae, mouse, chick, frog, zebrafish	4	(Xue and Qian, 2001)  
Hoxa11		HoxA11	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		hoxa11	mouse	Sarcopterygii: Mammalia	in situ	(Haack and Gruss, 1993)	3	(Ahn and Ho, 2008) 
Hoxa11		Hoxa-11	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	mouse	Sarcopterygii: Mammalia	knockdown	(Davis et al., 1995)	2	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	mouse	Sarcopterygii: Mammalia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	mouse	Sarcopterygii: Mammalia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	mouse	Sarcopterygii: Mammalia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	mouse	Sarcopterygii: Mammalia	in situ		3	(Coates, 1995)
Hoxa11		Hox A 11	mouse	Sarcopterygii: Mammalia	in situ	(Ruddle et al., 1999)	3	(Hinchliffe, 2002)  
Hoxa11		Hoxa11	mouse	Sarcopterygii: Mammalia	sequencing	sequence comparison with Latimeria chalumnae, human, chick, frog, zebrafish	4	(Xue and Qian, 2001)  
Hoxa11		Hoxa-11	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		HoxA11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	PCR		3	(Crow et al., 2012)
Hoxa11		HoxA11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing		4	(Crow et al., 2012)
Hoxa11		HoxA11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		HoxA11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
Hoxa11		Hoxa-11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Metscher et al., 2005) 
Hoxa11		Hoxa-11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	PCR		3	(Metscher et al., 2005) 
Hoxa11		Hoxa-11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing		4	(Metscher et al., 2005) 
Hoxa11		Hoxa-11	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment with shark (Heterodontis francisi), bichir (Polypterus senegalus), zebraï¬sh, pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa11		HoxA11	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		Hoxa-11	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), zebraï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa11		HoxA11	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		HoxA11	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		HoxA11	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11		HoxA11	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11		Hoxa-11	Xenopus	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	Xenopus	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	Xenopus	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11	Xenopus	Sarcopterygii: Amphibia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11a	Xenopus	Sarcopterygii: Amphibia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hoxa-11b	Xenopus	Sarcopterygii: Amphibia	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11		Hox A 11	Xenopus	Sarcopterygii: Amphibia	in situ	(Ruddle et al., 1999)	3	(Hinchliffe, 2002)  
Hoxa11		Hoxa-11	Xenopus	Sarcopterygii: Amphibia	PCR	RT-PCR (Lombardo and Slack, 2001)	3	(Metscher et al., 2005) 
Hoxa11		Hoxa-11	Xenopus	Sarcopterygii: Amphibia	in situ	whole mount (Blanco et al., 1998)	3	(Metscher et al., 2005) 
Hoxa11		Hoxa-11	Xenopus	Sarcopterygii: Amphibia	in situ	whole mount (Lombardo and Slack, 2001)	3	(Metscher et al., 2005) 
Hoxa11		Hoxa11	Xenopus	Sarcopterygii: Amphibia	in situ	(Blanco et al., 1998)	3	(Richardson et al., 2009)
Hoxa11		Hoxa-11	Xenopus	Sarcopterygii: Amphibia	in situ		3	  (Wagner and Chiu, 2001)  
Hoxa11		Hoxa11	Xenopus	Sarcopterygii: Amphibia	sequencing	sequence comparison with Latimeria chalumnae, mouse, human, zebrafish, chick	4	(Xue and Qian, 2001)  
Hoxa11		Hoxa11 (no info re: paralog)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence comparison with Latimeria chalumnae, mouse, human, frog, chick	4	(Xue and Qian, 2001)  
Hoxa11	hoxa11a	hoxa11a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa11	hoxa11a	Hoxa-11a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11	hoxa11a	Hoxa-11a	zebrafish	Actinopterygii: Teleostei	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11	hoxa11a	HoxA11 (hoxa11a and hoxa11b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa11	hoxa11a	HoxA11 (hoxa11a and hoxa11b in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa11	hoxa11a	Hoxa-11 (hoxa11a, hoxa11b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa11	hoxa11b	hoxa11b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxa11	hoxa11b	Hoxa-11b	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Chiu et al., 2000) 
Hoxa11	hoxa11b	Hoxa-11 (hoxa11b in (Sordino et al., 1995) as per ZFIN) 	zebrafish	Actinopterygii: Teleostei	in situ	in situ expression analyses of Hoxa-11  mRNA (Sordino et al., 1995)	3	(Chiu et al., 2000) 
Hoxa11	hoxa11b	Hoxa-11b	zebrafish	Actinopterygii: Teleostei	sequencing	nucleotide sequencing, amino acid sequence alignment	4	(Chiu et al., 2000) 
Hoxa11	hoxa11b	Hoxa-11 (hoxa11b in (Sordino et al., 1995) as per ZFIN) 	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Coates, 1995)
Hoxa11	hoxa11b	HoxA11 (hoxa11b for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Davis, 2013) 
Hoxa11	hoxa11b	Hoxa-11 (hoxa11a, hoxa11b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa11	hoxa11b	Hoxa-11 (hoxa11b for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Sordino and Duboule, 1996)
Hoxa11	hoxa11b	hoxa11b	zebrafish	Actinopterygii: Teleostei	in situ	(Grandel et al., 2000)	3	(Yano and Tamura, 2013)
Hoxa11b	hoxa11b	Hoxa-11 (Hoxa11b as per (ZFIN)	Zebrafish	Actinopterygii: Teleostei	in situ		3	(Sordino et al., 1995) 
hoxa11b, hoxd10a, hoxd11a, hoxd12a, hoxd13a		HoxD (cluster)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Cole and Currie, 2007) 
hoxa11b, hoxd10a, hoxd11a, hoxd12a, hoxd13a		hox (family)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Ruvinsky et al., 2000) 
Hoxa13		HoxA13	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		Hoxa-13	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment with North American Paddlefish , shark (Heterodontis francisi), zebraï¬sh, pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa13		hoxa13	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Ahn and Ho, 2008) 
Hoxa13		Hoxa-13	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Chiu et al., 2000) 
Hoxa13		Hoxa-13	chick	Sarcopterygii: Aves	misexpression	Misexpression of Hoxa-13 in the entire limb (Yokouchi et al., 1995)	2	(Chiu et al., 2000) 
Hoxa13		hoxa13	chick	Sarcopterygii: Aves	in situ	(Vargas and Fallon, 2005)	3	(Freitas et al., 2012)
Hoxa13		Hoxa-13	chick	Sarcopterygii: Aves	misexpression		2	(Metscher et al., 2005) 
Hoxa13		Hoxa-13	chick	Sarcopterygii: Aves	overexpression		2	(Wagner and Chiu, 2001)  
Hoxa13		HoxA13	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		Hoxa-13	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), zebraï¬sh, and puï¬€erï¬sh	4	(Metscher et al., 2005) 
Hoxa13		Hoxa13	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Hoxa13		HoxA13	horn shark (Heterodontus francisci)	Elasmobranchii	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		Hoxa-13	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment with North American Paddlefish, bichir (Polypterus senegalus), zebraï¬sh, puï¬€erï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa13		HoxA13	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		Hoxa-13	mouse	Sarcopterygii: Mammalia	knockdown	mutant with reduced expression (Fromental-Ramain et al., 1996)	2	(Chiu et al., 2000) 
Hoxa13		hoxa13	mouse	Sarcopterygii: Mammalia	ectopic expression	(Mercader et al., 1999)	2	(Freitas et al., 2012)
Hoxa13		Hoxa13	mouse	Sarcopterygii: Mammalia	in situ	(Yashiro et al., 2004)	3	(Zeller, 2010)
Hoxa13		HoxA13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	PCR		3	(Crow et al., 2012)
Hoxa13		HoxA13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing		4	(Crow et al., 2012)
Hoxa13		HoxA13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		HoxA13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
Hoxa13		Hoxa-13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Metscher et al., 2005) 
Hoxa13		Hoxa-13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	PCR		3	(Metscher et al., 2005) 
Hoxa13		Hoxa-13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing		4	(Metscher et al., 2005) 
Hoxa13		Hoxa-13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment with shark (Heterodontis francisi), bichir (Polypterus senegalus), zebraï¬sh, pufferï¬sh, and coelacanth	4	(Metscher et al., 2005) 
Hoxa13		HoxA13	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxa13		Hoxa-13	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment with North American Paddlefish, shark (Heterodontis francisi), bichir (Polypterus senegalus), zebraï¬sh and coelacanth	4	(Metscher et al., 2005) 
Hoxa13		HoxA13	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxa13		HoxA13	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	sequence alignment	4	(Crow et al., 2012)
